GCODE,ESCROLL_CAT,GID,PENSION_TYPE,BRANCH_CODE,BRANCH_NAME,BRANCH_PIN,BRANCH_STATE,BIRTH_YEAR,SUBMITTED_STATUS,WAIVER_UPTO,SUBMISSION_MODE,VERIFICATION_TYPE,CERTIFICATE_SUBMISSION_DATE,PENSIONER_PINCODE,PENSIONER_DISTNAME,PENSIONER_STATENAME
CENTRAL,RAILWAY,RAILWAY_12,F,11577,BANDAMUNDA,770032,ODISHA,1978,First_Year_Waiver,31-10-2025,,,,770032,Sundargarh,ODISHA
STATE,STATE,PUNJAB_1,F,50051,THE MALL ROAD FARDIKOT,151203,PUNJAB,1976,SUBMITTED,,PLC,,06-05-2025,151203,Faridkot,PUNJAB
STATE,STATE,ORISSA_11,F,01325,MALKANGIRI,764045,ODISHA,1961,SUBMITTED,,PLC,,12-05-2025,764048,Malkangiri,ODISHA
CENTRAL,RAILWAY,RAILWAY_5,F,00233,CHAKIA,232103,UTTAR PRADESH,1952,First_Year_Waiver,31-10-2025,,,,232103,Chandauli,UTTAR PRADESH
CENTRAL,CPAO,CIVIL_2,F,06812,NARELA,110040,NCT OF DELHI,1966,First_Year_Waiver,31-10-2025,,,,282001,Ballia,UTTAR PRADESH
STATE,STATE,MADHYA_PRADESH_1,F,01056,VALLABH BHAVAN BHOPAL,462004,MADHYA PRADESH,1972,SUBMITTED,,PLC,,21-05-2025,462016,Bhopal,MADHYA PRADESH
CENTRAL,RAILWAY,RAILWAY_11,F,12129,BHILAI CHARODA,490025,CHATTISGARH,1976,First_Year_Waiver,31-10-2025,,,,490025,Durg,CHHATTISGARH
CENTRAL,CPAO,CIVIL_2,F,02202,AYANAVARAM (CHENNAI),600023,TAMIL NADU,1954,First_Year_Waiver,31-10-2025,,,,600023,Chennai,TAMIL NADU
STATE,STATE,ASSAM_1,F,14255,PBB LACHITNAGAR,781007,ASSAM,1965,SUBMITTED,,PLC,,05-04-2025,781005,Kamrup Metropolitan,ASSAM
CENTRAL,RAILWAY,RAILWAY_12,F,08085,MIHIJAM,815354,JHARKHAND,1988,First_Year_Waiver,31-10-2025,,,,815354,Jamtara,JHARKHAND
STATE,STATE,MADHYA_PRADESH_1,F,02876,NAINPUR,481776,MADHYA PRADESH,1974,SUBMITTED,,PLC,,17-04-2025,481776,Mandla,MADHYA PRADESH
STATE,STATE,ORISSA_7,F,05078,NILGIRI,756040,ODISHA,1944,SUBMITTED,,PLC,,05-04-2025,756041,Baleshwar,ODISHA
STATE,STATE,ASSAM_1,F,00195,TEZPUR,784001,ASSAM,1967,SUBMITTED,,PLC,,06-05-2025,784001,Sonitpur,ASSAM
STATE,STATE,ORISSA_7,F,10237,RAJ BHAWAN BRANCH BHUBANESWAR,751008,ODISHA,1962,SUBMITTED,,PLC,,07-05-2025,751008,Khordha,ODISHA
CENTRAL,RAILWAY,RAILWAY_3,F,01663,CUTTACK CITY,753003,ODISHA,1972,First_Year_Waiver,31-10-2025,,,,753014,Cuttack,ODISHA
STATE,STATE,ASSAM_1,F,61672,BARAMA,781346,ASSAM,1972,SUBMITTED,,PLC,,16-06-2025,781303,Nalbari,ASSAM
STATE,STATE,BIHAR_16,F,09006,Bihar Vet. College Campus Branch,800014,BIHAR,1962,SUBMITTED,,PLC,,06-08-2025,800014,Patna,BIHAR
STATE,STATE,ORISSA_7,F,08095,MAHALA,754210,ODISHA,1945,SUBMITTED,,PLC,,11-06-2025,754223,Kendrapara,ODISHA
CENTRAL,RAILWAY,RAILWAY_1,F,07414,RAILWAY COLONY (BHUSAVAL),425201,MAHARASHTRA,1964,First_Year_Waiver,31-10-2025,,,,425201,Jalgaon,MAHARASHTRA
CENTRAL,CPAO,CIVIL_39,F,14293,BIDDUPUR (DISTT- VAISHALI ),844503,BIHAR,1990,First_Year_Waiver,31-10-2025,,,,844503,Vaishali,BIHAR
CENTRAL,CPAO,CIVIL_2,F,03355,BIDDUPUR (DISTT- VAISHALI ),695004,KERALA,1964,First_Year_Waiver,31-10-2025,,,,695025,Thiruvananthapuram,KERALA
STATE,STATE,JHARKHAND_1,F,09231,HANWARA,814154,JHARKHAND,1965,SUBMITTED,,PLC,,04-04-2025,813205,Bhagalpur,BIHAR
STATE,STATE,CHATTISGARH_1,F,02866,KIRANDUL,494456,CHATTISGARH,1959,SUBMITTED,,PLC,,01-05-2025,494556,Dakshin Bastar Dantewada,CHHATTISGARH
CENTRAL,RAILWAY,RAILWAY_3,F,02071,JATNI,752050,ODISHA,1971,First_Year_Waiver,31-10-2025,,,,752050,Khordha,ODISHA
STATE,STATE,ORISSA_11,F,00112,KENDRAPARA,754211,ODISHA,1948,SUBMITTED,,PLC,,11-04-2025,754250,Kendrapara,ODISHA
CENTRAL,CPAO,CIVIL_2,F,70406,PALLIPPURAM,695301,KERALA,1974,First_Year_Waiver,31-10-2025,,,,695103,Thiruvananthapuram,KERALA
STATE,STATE,ORISSA_7,F,02034,BURLA,768017,ODISHA,1951,SUBMITTED,,PLC,,08-04-2025,768016,Sambalpur,ODISHA
CENTRAL,RAILWAY,RAILWAY_12,F,07005,ARRAH,723121,WEST BENGAL,1972,First_Year_Waiver,31-10-2025,,,,723121,Puruliya,WEST BENGAL
STATE,STATE,CHATTISGARH_1,F,00545,DANTEWARA,494449,CHATTISGARH,1970,SUBMITTED,,DLC,,15-11-2024,494449,Dakshin Bastar Dantewada,CHHATTISGARH
CENTRAL,CPAO,CIVIL_2,F,61650,GARAI ROAD ASANSOL,713304,WEST BENGAL,1947,First_Year_Waiver,31-10-2025,,,,713304,Barddhaman,WEST BENGAL
STATE,STATE,CHATTISGARH_1,F,18097,INDRAVATI BHAWAN NAYA RAIPUR,492002,CHATTISGARH,1988,SUBMITTED,,PLC,,25-04-2025,496330,Jashpur,CHHATTISGARH
STATE,STATE,PUNJAB_1,F,01530,DHAB WASTI RAM,143001,PUNJAB,1990,SUBMITTED,,PLC,,27-03-2025,142044,Firozpur,PUNJAB
STATE,STATE,ASSAM_1,F,17222,SONAI,788119,ASSAM,1979,SUBMITTED,,PLC,,25-04-2025,788101,Cachar,ASSAM
CENTRAL AUTONOMOUS BODIES,AUTONOMOUS,DVC_2,F,05374,SOUTH SINTHEE(CALCUTTA),700050,WEST BENGAL,1948,First_Year_Waiver,31-10-2025,,,,700050,North Twenty Four Parganas,WEST BENGAL
STATE,STATE,ASSAM_1,F,07384,DANGARI,786156,ASSAM,1967,SUBMITTED,,PLC,,23-06-2025,786156,Tinsukia,ASSAM
CENTRAL,RAILWAY,RAILWAY_4,F,08922,ASHARU,743251,WEST BENGAL,1972,First_Year_Waiver,31-10-2025,,,,743251,North Twenty Four Parganas,WEST BENGAL
STATE,STATE,PUNJAB_1,F,50025,MOTI BAZAR MALERKOTLA,148023,PUNJAB,1938,SUBMITTED,,PLC,,09-12-2024,148023,Sangrur,PUNJAB
STATE,STATE,CHATTISGARH_1,F,03713,TAPKARA,496227,CHATTISGARH,1975,SUBMITTED,,PLC,,02-12-2024,496227,Jashpur,CHHATTISGARH
STATE,STATE,ARUNACHAL_PRADESH_1,F,01395,PASIGHAT,791102,ARUNACHAL PRADESH,1984,SUBMITTED,,PLC,,27-03-2025,791102,East Siang,ARUNACHAL PRADESH
CENTRAL AUTONOMOUS BODIES,AUTONOMOUS,DVC_2,F,02016,PARNASHREE (KOLKATA),700060,WEST BENGAL,1953,First_Year_Waiver,31-10-2025,,,,700060,Kolkata,WEST BENGAL
CENTRAL AUTONOMOUS BODIES,AUTONOMOUS,DVC_2,F,01487,KANCHRAPARA,743145,WEST BENGAL,1956,First_Year_Waiver,31-10-2025,,,,743145,North Twenty Four Parganas,WEST BENGAL
STATE,STATE,CHATTISGARH_1,F,00370,DURG MAIN BRANCH,491001,CHATTISGARH,1956,SUBMITTED,,PLC,,28-04-2025,,,
STATE,STATE,PUNJAB_1,F,50337,KHANPUR,148023,PUNJAB,1988,SUBMITTED,,PLC,,15-04-2025,148023,Sangrur,PUNJAB
STATE,STATE,CHATTISGARH_1,F,04571,COLLECTORATE (BILASPUR),495001,CHATTISGARH,1962,SUBMITTED,,DLC,,28-11-2024,495001,Bilaspur,CHHATTISGARH
CENTRAL,CPAO,CIVIL_2,F,31803,KANOTA THE-BASSI,303012,RAJASTHAN,1980,First_Year_Waiver,31-10-2025,,,,303908,Dausa,RAJASTHAN
CENTRAL,RAILWAY,RAILWAY_12,F,06209,JAGANNATHPUR,833203,JHARKHAND,1957,First_Year_Waiver,31-10-2025,,,,833203,Pashchimi Singhbhum,JHARKHAND
CENTRAL,RAILWAY,RAILWAY_12,F,00052,CHAIBASA,833201,JHARKHAND,1981,First_Year_Waiver,31-10-2025,,,,833201,Pashchimi Singhbhum,JHARKHAND
STATE,STATE,TRIPURA_1,F,09127,DUKLI (NEW IND EST) SAB,799003,TRIPURA,1993,SUBMITTED,,PLC,,01-07-2025,799003,West Tripura,TRIPURA
CENTRAL,CPAO,CIVIL_2,F,03333,BENGDUBI,734424,WEST BENGAL,1974,First_Year_Waiver,31-10-2025,,,,734014,Darjiling,WEST BENGAL
STATE,STATE,KARNATAKA_29,F,40052,BM ROAD CHANNARAYAPATNA,573116,KARNATAKA,1980,SUBMITTED,,PLC,,31-05-2025,573116,Hassan,KARNATAKA
CENTRAL,DEFENCE,DEFENCE_8,F,00430,MORENA MAIN BRANCH,476001,MADHYA PRADESH,1955,First_Year_Waiver,31-10-2025,,,,476111,Morena,MADHYA PRADESH
STATE,STATE,PUNJAB_1,F,18691,NGM NABHA,147201,PUNJAB,1974,SUBMITTED,,PLC,,11-02-2025,147201,Patiala,PUNJAB
STATE,STATE,BIHAR_1,F,01222,GAYA BAZAR ( GAYA ),823001,BIHAR,1962,SUBMITTED,,PLC,,06-05-2025,823001,Gaya,BIHAR
STATE,STATE,CHATTISGARH_1,F,02870,KUNKURI,496225,CHATTISGARH,1982,SUBMITTED,,PLC,,10-03-2025,496225,Jashpur,CHHATTISGARH
STATE,STATE,ASSAM_1,F,06310,LUMDING,782461,ASSAM,1973,SUBMITTED,,PLC,,21-02-2025,782447,Nagaon,ASSAM
CENTRAL,CPAO,CIVIL_39,F,07996,GOSSAIGAON,783360,ASSAM,1986,First_Year_Waiver,31-10-2025,,,,783360,Kokrajhar,ASSAM
STATE,STATE,ORISSA_7,F,00163,RAIRANGPUR,757043,ODISHA,1958,SUBMITTED,,PLC,,30-12-2024,757038,Mayurbhanj,ODISHA
CENTRAL,RAILWAY,RAILWAY_14,F,10515,KOLATHUR,600099,TAMIL NADU,1978,First_Year_Waiver,31-10-2025,,,,600082,Chennai,TAMIL NADU
STATE,STATE,ASSAM_1,F,07202,GITANAGAR (GUWAHATI),781021,ASSAM,1972,SUBMITTED,,PLC,,21-03-2025,781071,Kamrup Metropolitan,ASSAM
CENTRAL,DEFENCE,DEFENCE_8,F,61208,SECTOR 77 NOIDA,201301,UTTAR PRADESH,1946,First_Year_Waiver,31-10-2025,,,,201301,Gautam Buddha Nagar,UTTAR PRADESH
CENTRAL,RAILWAY,RAILWAY_3,F,03817,KENDUPATNA,754203,ODISHA,1973,First_Year_Waiver,31-10-2025,,,,754221,Cuttack,ODISHA
STATE,STATE,CHATTISGARH_1,F,01470,NEORA,493114,CHATTISGARH,1982,SUBMITTED,,PLC,,04-04-2025,493114,Raipur,CHHATTISGARH
STATE,STATE,ORISSA_19,F,00033,BERHAMPUR GANJAM,760001,ODISHA,1956,SUBMITTED,,PLC,,16-04-2025,755008,Jajapur,ODISHA
STATE,STATE,ORISSA_19,F,07050,JHANJIRIMANGALA CUTTACK,753009,ODISHA,1945,SUBMITTED,,PLC,,21-04-2025,753009,Cuttack,ODISHA
STATE,STATE,ORISSA_19,F,07050,JHANJIRIMANGALA CUTTACK,753009,ODISHA,1945,SUBMITTED,,PLC,,21-04-2025,753009,Cuttack,ODISHA
CENTRAL,RAILWAY,RAILWAY_11,F,20304,SECUNDERABAD- MYLARGADDA,500025,TELANGANA,1968,First_Year_Waiver,31-10-2025,,,,500061,Hyderabad,TELANGANA
STATE,STATE,TRIPURA_1,F,09128,KANCHANCHERRA,799266,TRIPURA,1982,SUBMITTED,,PLC,,12-06-2025,799264,North Tripura,TRIPURA
STATE,STATE,ASSAM_1,F,02026,BISWANATH CHARALI,784176,ASSAM,1963,SUBMITTED,,PLC,,14-11-2024,784176,Sonitpur,ASSAM
STATE,STATE,ASSAM_1,F,02026,BISWANATH CHARALI,784176,ASSAM,1963,SUBMITTED,,PLC,,14-11-2024,784176,Sonitpur,ASSAM
